"id","title","shorttitle","icon16x16","href","_blank","appid","itemtype","req_context_item_id","act_type"

"VD11","Crear documento de venta","Crear","","/!/ventas/venta/_new/","0","ventas.venta","DET01C","0","action"
"VD12","Editar documento de venta","Detalles","","/!/ventas/venta/@_src_context_item_id/","0","ventas.venta","DET01C","1","action"
"VD13","Procesar documento de venta","Procesar","","/!/ventas/venta/@_src_context_item_id/procesar/","0","ventas.venta","DET01C","1","action"
"VD14","Cancelar documento de venta","Cancelar","","/!/ventas/venta/@_src_context_item_id/cancelar/","0","ventas.venta","DET01C","1","action"

"VD21","Ventas netas totales","V.N.T","","/!/ventas/reports/ventas-netas-totales/","0","ventas.reports","DET01C","0","report"
"VD22","Ventas por línea","V.P.L","","/!/ventas/reports/ventas-por-linea/","0","ventas.reports","DET01C","0","report"
"VD23","Ventas por Cliente","V.P.C","","/!/ventas/reports/ventas-por-cliente/","0","ventas.reports","DET01C","0","report"
"VD24","Acumulado de Ventas por Cliente","A.D.V.P.C","","/!/ventas/reports/acumulado-de-ventas-por-cliente/","0","ventas.reports","DET01C","0","report"
"VD25","Ventas por Facturar","V.P.F","","/!/ventas/reports/ventas-por-facturar/","0","ventas.reports","DET01C","0","report"

VDF0,Podar ventas,Podar ventas,,/!/batch/taskman/VD/podar.ventas/?exit_url_encode=LyEvdmVudGFzL3ZlbnRhLw||,0,ventas.venta,DET01C,0,action
VDF1,Limpiar ventas,Limpiar ventas,,/!/batch/taskman/VD/limpiar.ventas/?exit_url_encode=LyEvdmVudGFzL3ZlbnRhLw||,0,ventas.venta,DET01C,0,action